N,Climate zone,Locality,Country,Latitude,Longitude,Altitude,References
51,VIII/IX,Ust Kamchatsk,Russia,56°14′‐N,162°28′‐E,   6 m,Corbet (1978)
52,VI/VIII,Saskatoon,Canada,52°08′‐N,106°38′‐W,157 m,Hall (1981)
53,VI/VIII,Riga,Latvia,56°58′‐N, 24°04′‐E,   3 m,Corbet (1978)
54,VI/VII,Budapest,Hungary,47°31′‐N, 19°02′‐E,120 m,Corbet (1978)
55,VI,Dairen,China,38°54′‐N,121°38′‐E, 96 m,Corbet (1978)
56,IV/VI,Portland,USA,45°32′‐N,122°40′‐W,   9 m,Hall (1981)
57,V,Charleston,USA,32°54′‐N, 80°02′‐W,100 m,Hall (1981)
58,IV/VI,Niza,France,43°40′‐N,   7°12′‐E,   5 m,Corbet (1978)
59,II/V,Kweilin,China,25°15′‐N,110°10′‐E,167 m,Corbet (1978); 
,,,,,,,Corbet & Hill (1992)
60,III,Smara,Sahara W,26°44′‐N, 11°26′‐W,140 m,Corbet (1978)
61,II,Puerto Ayacucho,Venezuela, 5°41′‐N, 67°38′‐W, 99 m,Eisenberg (1989)
62,I/II,Tabou,Ivory Coast, 4°55′‐N,   7°22′‐E,   4 m,Kingdon (1971–82); Dorst & Dandelot (1973); Nowak (1991)
63,I,Kuala Lumpur,Malaysia, 3°07′‐N,101°42′‐E, 34 m,Corbet & Hill (1992)
