Fossil site,I,II,II/III,III,IV,V,VI,VII,VIII,IX
 Barová 12,0, 1.389,1.389, 1.389, 6.944, 0.000,21.759, 7.870,36.574,22.685
 1 Quibas,2.857,22.857,2.857, 2.857,29.524, 2.857, 6.667,19.524,10, 0.000
 2 Bagur 2,0,11.111,0, 2.222,25.37, 0.000,14.259,30.926,16.111, 0.000
 3 Mas Rambault 1,0,12.5,0, 2.500,34.792, 0.000,22.292,16.042,11.875, 0.000
 4 Les Valerots,0, 0.000,0, 6.667,15, 6.250,25.417,26.458,13.958, 6.250
 5 Neuleiningen 5,0, 0.000,0,14.444,14.444, 0.000, 8.889,25.556,22.778,13.889
 6 Monte Peglia A,0, 0.000,0,10.833,23.333,12.5,15,23.333,15, 0.000
 7 Chlum 6,0, 0.000,0, 5.614,12.807, 0.000,34.737,20.702,21.579, 4.561
 8 Villany 5,0.893, 0.893,0,13.75,25.06, 0.893,14.643,29.226,12.56, 2.083
 9 Kamyk,0, 0.625,0.625,12.625,18.458, 0.000,19.292,13.458, 3.125, 0.000
 10 Betfia 9a,1.02, 1.020,0, 7.619, 8.639, 1.020,22.925,40.782,14.592, 2.381
 11 Tiligul,1.276, 1.276,0.595,13.294,22.863, 2.228,13.339,35.561, 9.569, 0.000
 12 Dodogol 1,0, 0.000,0,10.667,10.667, 0.000,10.667,47.333,20.667, 0.000
,,,,,,,,,,
